Position ID,Bin ID,Price,Position Liquidity,Position X Amount,Position Y Amount,Liquidity Share (%)
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-197,0.14082811453806020117,1.776311631831909778653266622e+27,0,96.87628732590963,4.68%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-196,0.14223639568344080319,1.782895312117650601723294793e+27,0,96.65121097546516,2.17%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-195,0.14365875964027521122,1.776906393121731986524927733e+27,0.07072386806969039,96.41612391410315,1.89%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-194,0.14509534723667796333,1.774375095691203303649253749e+27,663.0145557173529,0,1.88%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-193,0.14654630070904474296,1.768634809636256486054868026e+27,654.9125264992314,0,1.86%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-192,0.14801176371613519039,1.765364258691918574065005133e+27,646.9059335298139,0,1.85%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-191,0.1494918813532965423,1.762085812030701192870563759e+27,638.993684073311,0,1.84%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-190,0.15098680016682950772,1.757957128840647086412839224e+27,631.1746990927791,0,1.76%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-189,0.1524966681684978028,1.753775869281492441628292746e+27,623.4479040638131,0,1.76%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-188,0.15402163485018278082,1.749312332338792450085622392e+27,615.8122420520422,0,1.75%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-187,0.15556185119868460863,1.745037940274530988511716409e+27,608.2666630641025,0,1.75%
